cadence,distance,heart_rate,latitude,longitude,temperature,timestamp
56,2.02,58,51.0710306558758,5.223644217476249,30,2021-07-25 07:25:34
56,3.88,58,51.0710428096354,5.223625358194113,29,2021-07-25 07:25:35
82,18.19,60,51.07110299170017,5.223446823656559,30,2021-07-25 07:25:40
83,24.42,64,51.07112101279199,5.223362585529685,30,2021-07-25 07:25:42
82,32.72,70,51.07113157398999,5.2232458256185055,29,2021-07-25 07:25:45
82,36.98,75,51.07112570665777,5.2231851406395435,29,2021-07-25 07:25:47
82,39.77,78,51.07112151570618,5.223145829513669,29,2021-07-25 07:25:48
74,44.38,83,51.07111422345042,5.2230812050402164,29,2021-07-25 07:25:50
74,47.52,87,51.071111876517534,5.22303644567728,29,2021-07-25 07:25:51
75,52.61,91,51.07111154124141,5.222963774576783,29,2021-07-25 07:25:53
75,55.45,94,51.07110726647079,5.2229236252605915,29,2021-07-25 07:25:54
75,58.46,97,51.07110693119466,5.222880793735385,29,2021-07-25 07:25:55
77,65.02,101,51.07110274024308,5.222787167876959,29,2021-07-25 07:25:57
80,70.54,104,51.071100644767284,5.222707875072956,29,2021-07-25 07:25:59
80,77.35,107,51.07109410688281,5.222611231729388,29,2021-07-25 07:26:01
80,83.81,111,51.071089915931225,5.222519114613533,29,2021-07-25 07:26:03
79,86.23,112,51.07108765281737,5.222484664991498,29,2021-07-25 07:26:04
78,107.81,113,51.071073319762945,5.2221747022122145,29,2021-07-25 07:26:12
77,117.54,113,51.071093771606684,5.2220330480486155,28,2021-07-25 07:26:15
78,125.63,114,51.07111254706979,5.221917210146785,28,2021-07-25 07:26:18
79,144.3,116,51.07121489010751,5.221671452745795,28,2021-07-25 07:26:24
79,164.83,115,51.07124053873122,5.221378086134791,28,2021-07-25 07:26:31
79,171.47,115,51.07120550237596,5.221290998160839,28,2021-07-25 07:26:33
79,183.18,117,51.07118069194257,5.221127634868026,28,2021-07-25 07:26:37
80,189.41,119,51.071184715256095,5.221039541065693,28,2021-07-25 07:26:39
81,199.27,121,51.07122687622905,5.220916494727135,28,2021-07-25 07:26:42
81,213.27,121,51.07129879295826,5.220754975453019,28,2021-07-25 07:26:48
81,222.3,122,51.071278508752584,5.220636874437332,28,2021-07-25 07:26:52
80,224.08,123,51.07126300223172,5.220630336552858,27,2021-07-25 07:26:53
79,228.72,123,51.071221344172955,5.220612399280071,27,2021-07-25 07:26:55
75,233.72,123,51.071176920086145,5.220630085095763,27,2021-07-25 07:26:59
74,237.07,124,51.07114875689149,5.2206482738256454,27,2021-07-25 07:27:01
76,244.44,123,51.071081114932895,5.220657410100102,27,2021-07-25 07:27:04
79,247.91,120,51.07105881907046,5.220624133944511,27,2021-07-25 07:27:07
79,247.94,118,51.07106133364141,5.220619440078735,27,2021-07-25 07:27:08
79,248.53,118,51.07106485404074,5.220613069832325,27,2021-07-25 07:27:09
75,248.85,118,51.071064015850425,5.2206082083284855,27,2021-07-25 07:27:10
75,249.54,116,51.071068458259106,5.2206074539572,27,2021-07-25 07:27:16
73,249.71,113,51.07106720097363,5.220602927729487,27,2021-07-25 07:27:28
73,249.71,112,51.07106720097363,5.220602927729487,27,2021-07-25 07:27:30
73,252.59,109,51.07105169445276,5.2205699030309916,27,2021-07-25 07:27:32
77,266.78,109,51.0709273070097,5.2205475233495235,27,2021-07-25 07:27:37
79,285.02,112,51.0707647819072,5.2205807995051146,27,2021-07-25 07:27:43
77,305.18,113,51.0705850739032,5.220614410936832,27,2021-07-25 07:27:49
78,311.48,115,51.07052841223776,5.220619942992926,27,2021-07-25 07:27:51
79,317.67,119,51.070472840219736,5.2206232119351625,27,2021-07-25 07:27:53
80,323.57,123,51.07042011804879,5.220631677657366,27,2021-07-25 07:27:55
81,335.72,124,51.070310985669494,5.220644753426313,27,2021-07-25 07:27:59
79,347.08,121,51.07020922936499,5.220635868608952,27,2021-07-25 07:28:03
80,355.77,120,51.07013236731291,5.220660846680403,27,2021-07-25 07:28:06
81,377.41,122,51.06993732042611,5.220709461718798,27,2021-07-25 07:28:12
83,382.56,122,51.069891303777695,5.220699235796928,27,2021-07-25 07:28:14
79,399.24,122,51.06974168680608,5.220688255503774,27,2021-07-25 07:28:22
